"Node","Case","FX","FY","FZ","MX","MY","MZ"
1,119,-0.74125E-01,0.21506,-258.90,0,0,0
2,119,-117.18,-0.50506E-01,322.82,0,0,0
3,119,0.45088,-0.56183E-01,325.50,0,0,0
4,119,0.43497,0.22793,325.50,0,0,0
5,119,0.52143E-01,-0.16592,40.569,0,0,0
6,119,0.51899E-01,0.10697,40.569,0,0,0
7,119,0.53386E-02,0.42127,4.7430,-0.10237E-02,0,0
8,119,0.35345E-02,3.5302,2.8444,-0.10009E-02,0,0
9,119,0.71930,54.302,93.204,-0.13196E-02,0,0
10,119,-0.46874,57.469,91.274,-0.72031E-03,0,0
1,120,-0.66098E-03,0.24330E-01,-56.186,0,0,0
2,120,-0.50044E-02,0.47020E-01,-55.288,0,0,0
3,120,0.43612E-02,-0.84288E-01,207.96,0,0,0
4,120,-0.21262E-02,-0.76404E-01,207.96,0,0,0
5,120,0.42860E-02,-0.75778E-01,208.37,0,0,0
6,120,-0.22271E-02,-0.85196E-01,208.37,0,0,0
7,120,0.30606,40.061,66.213,0.66068E-05,0,0
8,120,-0.30534,40.045,66.223,0.44252E-05,0,0
9,120,0.30633,40.073,66.250,0.55256E-05,0,0
10,120,-0.30567,40.072,66.250,0.54698E-05,0,0
1,121,-0.95013E-01,0.89258E-01,321.90,0,0,0
2,121,117.36,0.17831,-258.07,0,0,0
3,121,-0.52272E-01,0.10716,40.112,0,0,0
4,121,-0.52511E-01,-0.16545,40.112,0,0,0
5,121,-0.44140,0.23042,326.08,0,0,0
6,121,-0.45736,-0.57313E-01,326.08,0,0,0
7,121,0.46676,57.491,91.313,-0.73964E-03,0,0
8,121,-0.72228,54.327,93.242,-0.13388E-02,0,0
9,121,-0.34798E-02,3.4734,2.7085,-0.10266E-02,0,0
10,121,-0.51613E-02,0.32639,4.6305,-0.10489E-02,0,0
1,122,-0.29124,0.57042,650.33,0,0,0
2,122,161.23,-0.31010E-01,-161.90,0,0,0
3,122,0.15159,0.23773,-75.138,0,0,0
4,122,0.15073,-0.14447,-75.138,0,0,0
5,122,-0.61524,0.45937,323.66,0,0,0
6,122,-0.63097,0.73201E-01,323.66,0,0,0
7,122,0.13965,38.857,59.379,-0.17417E-02,0,0
8,122,-0.37382,34.491,62.040,-0.22850E-02,0,0
9,122,0.37633,-35.109,-61.704,-0.22530E-02,0,0
10,122,-0.13978,-39.405,-59.078,-0.17166E-02,0,0
1,123,-0.28293,0.78755,747.54,0,0,0
2,123,116.37,-0.95581E-01,167.61,0,0,0
3,123,0.11437,0.14253,-76.308,0,0,0
4,123,0.11349,-0.13715,-76.308,0,0,0
5,123,-0.29202,0.33803,207.45,0,0,0
6,123,-0.29848,0.68101E-01,207.45,0,0,0
7,123,0.75664E-02,-1.1181,-4.8302,-0.10996E-02,0,0
8,123,0.52228E-02,-4.2810,-2.9000,-0.10730E-02,0,0
9,123,0.71358,-54.338,-91.720,-0.13274E-02,0,0
10,123,-0.45032,-57.366,-89.869,-0.75979E-03,0,0
